internship_id,profile,role_type,seniority,location_normalized,stipend_min,stipend_max,education_normalized
2025WSHP0001,Marketing,marketing,entry-level / student,Bangalore,15000,25000,Any
2025WSHP0002,Online Geography Faculty For School Kids.,online geography faculty for school kids.,entry-level / student,Remote,6000,9000,Any
2025WSHP0003,Video Editing/Making,video editing/making,entry-level / student,Noida,6000,8000,Any
2025WSHP0004,Digital Marketing,marketing,entry-level / student,Bangalore,15000,20000,Any
2025WSHP0005,Client Servicing,client servicing,entry-level / student,Mumbai,10000,15000,Any
2025WSHP0006,Audio Description (Music Background),audio description (music background),entry-level / student,Remote,6000,12000,Any
2025WSHP0007,Telecalling,telecalling,entry-level / student,Noida,5000,8000,Any
2025WSHP0008,New Initiative,new initiative,entry-level / student,Bangalore,20000,30000,Any
2025WSHP0009,Human Resources (HR),human resources (hr),entry-level / student,Delhi,5000,5001,Any
2025WSHP0010,Video Editor,video editor,entry-level / student,Noida,8000,12000,Any
2025WSHP0011,Fashion Design,design,entry-level / student,Mumbai,3000,3000,Any
2025WSHP0012,Field Sales,field sales,entry-level / student,Hyderabad,12000,25000,Any
2025WSHP0013,Marketing,marketing,entry-level / student,Bangalore,30000,50000,Any
2025WSHP0014,E-commerce Executive,e-commerce executive,entry-level / student,Delhi,4500,5501,Any
2025WSHP0015,Video Editing & Graphic Designing,design,entry-level / student,Delhi,5000,15000,Any
2025WSHP0016,Front End Development,front end development,entry-level / student,Mumbai,10000,15000,Any
2025WSHP0017,Social Media Content Creator- Video,marketing,entry-level / student,Kolkata,6000,12000,Any
2025WSHP0018,Financial Accountant,financial accountant,entry-level / student,Gurgaon,3000,7000,Any
2025WSHP0019,Field Sales,field sales,entry-level / student,Chennai,30000,40000,Any
2025WSHP0020,Telecalling,telecalling,entry-level / student,Mumbai,10000,15000,Any
2025WSHP0021,Content Writing,content writing,entry-level / student,Thane,10000,12000,Any
2025WSHP0022,Customer Service/Customer Support,customer service/customer support,entry-level / student,Thane,10000,10001,Any
2025WSHP0023,Human Resources (HR),human resources (hr),entry-level / student,Mumbai,6000,10000,Any
